"GID_1","NAME_1","GID_2","NAME_2","lon","lat"
"HND.15_1","Olancho","HND.15.6_1","Esquipulas del Norte",-86.5740192497611,15.2735499523129
"HND.15_1","Olancho","HND.15.7_1","Gualaco",-86.0765961867006,15.1924243448787
"HND.15_1","Olancho","HND.15.8_1","Guarizama",-86.2970586824821,14.8951208801575
"HND.15_1","Olancho","HND.15.9_1","Guata",-86.3834374492868,15.1549167569633
"HND.15_1","Olancho","HND.15.10_1","Guayape",-86.8486904816948,14.7898303950753
"HND.15_1","Olancho","HND.15.11_1","Jano",-86.5428509949972,15.0662009204501
"HND.15_1","Olancho","HND.15.12_1","Juticalpa",-86.3252432943878,14.5401342581564
"HND.15_1","Olancho","HND.15.13_1","La Unión",-86.6991565883077,15.0751017961435
"HND.15_1","Olancho","HND.15.14_1","Mangulile",-86.8565778558349,15.1170334234205
"HND.15_1","Olancho","HND.15.15_1","Manto",-86.4135504457304,14.8660779022899
"HND.15_1","Olancho","HND.15.16_1","Patuca",-85.9682611524154,14.3172465601433
"HND.15_1","Olancho","HND.15.17_1","Salamá",-86.6529091169168,14.8122206516006
"HND.15_1","Olancho","HND.15.18_1","San Esteban",-85.7145305533952,15.3054548096176
"HND.15_1","Olancho","HND.15.19_1","San Francisco de Becerra",-86.0401607258753,14.6084623267478
"HND.15_1","Olancho","HND.15.20_1","San Francisco de la Paz",-86.1327955951909,14.8382912565538
"HND.15_1","Olancho","HND.15.21_1","Santa Maria del Real",-85.9596247750501,14.8114168264314
"HND.15_1","Olancho","HND.15.22_1","Silca",-86.5479713063767,14.7499490330375
"HND.15_1","Olancho","HND.15.23_1","Yocón",-86.8328025798553,14.9487494099681
"HND.16_1","Santa Bárbara","HND.16.1_1","Arada",-88.333462347068,14.8363725552166
"HND.16_1","Santa Bárbara","HND.16.2_1","Atima",-88.487636991733,14.8986973564122
"HND.16_1","Santa Bárbara","HND.16.3_1","Azacualpa",-88.5775307163277,15.3542817168489
"HND.16_1","Santa Bárbara","HND.16.4_1","Ceguaca",-88.1945789013645,14.8039181230158
"HND.16_1","Santa Bárbara","HND.16.5_1","Chinda",-88.1565240413231,15.110873106264
"HND.16_1","Santa Bárbara","HND.16.6_1","Concepción del Norte",-88.139162458997,15.1801325829409
"HND.16_1","Santa Bárbara","HND.16.7_1","Concepción del Sur",-88.1415706872505,14.8036038647719
"HND.16_1","Santa Bárbara","HND.16.8_1","El Nispero",-88.3273010847308,14.7582717656362
"HND.16_1","Santa Bárbara","HND.16.9_1","Gualala",-88.1756263414232,14.9834057601867
"HND.16_1","Santa Bárbara","HND.16.10_1","Ilama",-88.1168385044265,15.0339387632338
"HND.16_1","Santa Bárbara","HND.16.11_1","Las Vegas",-88.0533227989989,14.851556788486
"HND.16_1","Santa Bárbara","HND.16.12_1","Macuelizo",-88.5719117084874,15.2141736770573
"HND.16_1","Santa Bárbara","HND.16.13_1","Naranjito",-88.6160660113847,14.9549663182783
"HND.16_1","Santa Bárbara","HND.16.14_1","Nueva Frontera",-88.6691404538892,15.2614525969664
"HND.16_1","Santa Bárbara","HND.16.15_1","Nuevo Celilac",-88.3665360365764,14.9590697589644
"HND.16_1","Santa Bárbara","HND.16.16_1","Petoa",-88.2280553282003,15.254438288149
"HND.16_1","Santa Bárbara","HND.16.17_1","Protección",-88.6112826072042,15.0606854736544
"HND.16_1","Santa Bárbara","HND.16.18_1","Quimistán",-88.3590124755836,15.3986209544558
"HND.16_1","Santa Bárbara","HND.16.19_1","San Francisco de Ojuera",-88.2184449557251,14.6870083970448
"HND.16_1","Santa Bárbara","HND.16.20_1","San José de Colinas",-88.3212659619586,15.0489896932342
"HND.16_1","Santa Bárbara","HND.16.21_1","San Luis",-88.4708788896991,15.0896913235028
"HND.16_1","Santa Bárbara","HND.16.22_1","San Marcos",-88.4004781957023,15.2424694220979
"HND.16_1","Santa Bárbara","HND.16.23_1","San Nicolás",-88.3613202141149,14.8993957537528
"HND.16_1","Santa Bárbara","HND.16.24_1","San Pedro Zacapa",-88.0865565208774,14.7287862021948
"HND.16_1","Santa Bárbara","HND.16.25_1","San Vicente Centenario",-88.2940855827605,14.8714579334174
"HND.16_1","Santa Bárbara","HND.16.26_1","Santa Bárbara",-88.1720093152854,14.9035765180496
"HND.16_1","Santa Bárbara","HND.16.27_1","Santa Rita",-88.2636031632076,14.7390396502833
"HND.16_1","Santa Bárbara","HND.16.28_1","Trinidad de Copán",-88.2568402094417,15.1372724468295
"HND.17_1","Valle","HND.17.1_1","Alianza",-87.710208536391,13.4439968262267
"HND.17_1","Valle","HND.17.2_1","Amapala",-87.6191329509532,13.3234700885078
"HND.17_1","Valle","HND.17.3_1","Aramecina",-87.6943484936432,13.7244548063376
"HND.17_1","Valle","HND.17.4_1","Caridad",-87.6909057156118,13.8099268483145
"HND.17_1","Valle","HND.17.5_1","Goascorán",-87.7161154053751,13.5872504229645
"HND.17_1","Valle","HND.17.6_1","Langue",-87.6334116391046,13.658340316953
"HND.17_1","Valle","HND.17.7_1","Nacaome",-87.5282496761034,13.5183432378113
"HND.17_1","Valle","HND.17.8_1","San Francisco de Coray",-87.5507599045123,13.6725878273876
"HND.17_1","Valle","HND.17.9_1","San Lorenzo",-87.4193762593365,13.4374006850847
"HND.18_1","Yoro","HND.18.1_1","Arenal",-86.8508079609586,15.3496464490912
"HND.18_1","Yoro","HND.18.2_1","El Negrito",-87.7092008828999,15.4080252398871
"HND.18_1","Yoro","HND.18.3_1","El Progreso",-87.8060957552311,15.4237110915922
"HND.18_1","Yoro","HND.18.4_1","Jocón",-86.9867080122741,15.2899465780527
"HND.18_1","Yoro","HND.18.5_1","Morazán",-87.5774240736194,15.3315491410611
"HND.18_1","Yoro","HND.18.6_1","Olanchito",-86.6750149686977,15.4518538406451
"HND.18_1","Yoro","HND.18.7_1","Santa Rita",-87.8181244972704,15.1821806976158
